time,open,high,low,close,Volume,Volume MA
2/12/2009,91.04,91.04,91.04,91.04,NaN,NaN
2/13/2009,91.93,91.93,91.93,91.93,NaN,NaN
2/17/2009,95.07,95.07,95.07,95.07,NaN,NaN
2/18/2009,89.11,89.11,89.11,89.11,NaN,NaN
2/19/2009,88.27,88.27,88.27,88.27,NaN,NaN
2/20/2009,90.66,90.66,90.66,90.66,NaN,NaN
2/23/2009,93.02,93.02,93.02,93.02,NaN,NaN
2/24/2009,89.13,89.13,89.13,89.13,NaN,NaN
2/25/2009,88.93,88.93,88.93,88.93,NaN,NaN
2/26/2009,89.37,89.37,89.37,89.37,NaN,NaN
2/27/2009,91.08,91.08,91.08,91.08,NaN,NaN
3/2/2009,93.86,93.86,93.86,93.86,NaN,NaN
3/3/2009,90.75,90.75,90.75,90.75,NaN,NaN
3/4/2009,85.6,85.6,85.6,85.6,NaN,NaN
3/5/2009,89.88,89.88,89.88,89.88,NaN,NaN
3/6/2009,88.26,88.26,88.26,88.26,NaN,NaN
3/9/2009,90.09,90.09,90.09,90.09,NaN,NaN
3/10/2009,85.36,85.36,85.36,85.36,NaN,NaN
3/11/2009,85.35,85.35,85.35,85.35,NaN,NaN
3/12/2009,81.81,81.81,81.81,81.81,NaN,NaN
3/13/2009,78.13,78.13,78.13,78.13,NaN,NaN
3/16/2009,80.07,80.07,80.07,80.07,NaN,NaN
3/17/2009,75.21,75.21,75.21,75.21,NaN,NaN
3/18/2009,74.8,74.8,74.8,74.8,NaN,NaN
3/19/2009,73.56,73.56,73.56,73.56,NaN,NaN
3/20/2009,73.11,73.11,73.11,73.11,NaN,NaN
3/23/2009,71.39,71.39,71.39,71.39,NaN,NaN
3/24/2009,70.16,70.16,70.16,70.16,NaN,NaN
3/25/2009,71.76,71.76,71.76,71.76,NaN,NaN
3/26/2009,70.97,70.97,70.97,70.97,NaN,NaN
3/27/2009,71.68,71.68,71.68,71.68,NaN,NaN
3/30/2009,74.68,74.68,74.68,74.68,NaN,NaN
3/31/2009,72.71,72.71,72.71,72.71,NaN,NaN
4/1/2009,70.39,70.39,70.39,70.39,NaN,NaN
