time,open,high,low,close,Volume,Volume MA
2012-12-12,1.936,2.552,1.077,1.109,NaN,NaN
2012-12-13,1.403,1.459,0.807,0.96,NaN,NaN
2012-12-14,1.654,1.904,0.651,0.96,NaN,NaN
2012-12-17,0.584,0.884,0.549,0.714,NaN,NaN
2012-12-18,1.034,1.335,0.785,0.839,NaN,NaN
2012-12-19,1.894,1.894,0.945,0.972,NaN,NaN
2012-12-20,1.3,1.799,0.786,0.984,NaN,NaN
2012-12-21,0.84,1.276,0.84,1.276,NaN,NaN
2012-12-24,0.896,1.816,0.889,1.26,NaN,NaN
2012-12-26,1.348,2.225,0.944,1.192,NaN,NaN
2012-12-27,1.233,1.395,0.803,1.065,NaN,NaN
2012-12-28,0.839,1.77,0.839,1.074,NaN,NaN
2012-12-31,1.211,1.224,0.83,0.971,NaN,NaN
2013-01-02,1.068,1.313,0.823,1.036,NaN,NaN
2013-01-03,0.621,1.046,0.464,0.958,NaN,NaN
2013-01-04,0.896,1.438,0.725,0.736,NaN,NaN
2013-01-07,0.482,1.326,0.407,0.977,NaN,NaN
2013-01-08,0.805,0.936,0.642,0.837,NaN,NaN
2013-01-09,1.095,1.916,0.882,0.898,NaN,NaN
2013-01-10,0.466,0.687,0.435,0.686,NaN,NaN
2013-01-11,1.158,1.158,0.299,0.549,NaN,NaN
2013-01-14,0.932,1.747,0.858,0.916,NaN,NaN
2013-01-15,1.673,1.673,0.99,1.172,NaN,NaN
2013-01-16,2.512,2.533,0.718,0.861,NaN,NaN
2013-01-17,0.803,0.886,0.567,0.812,NaN,NaN
2013-01-18,0.962,0.975,0.427,0.74,NaN,NaN
2013-01-22,0.487,1.593,0.487,1.06,NaN,NaN
2013-01-23,1.036,1.167,0.651,0.883,NaN,NaN
2013-01-24,0.869,1.174,0.789,0.821,NaN,NaN
2013-01-25,0.889,1.652,0.838,0.905,NaN,NaN
2013-01-28,0.775,1.251,0.597,1.004,NaN,NaN
2013-01-29,0.972,1.32,0.867,1.092,NaN,NaN
2013-01-30,1.001,1.726,0.901,1.047,NaN,NaN
2013-01-31,0.525,1.042,0.441,0.737,NaN,NaN
2013-02-01,1.828,1.84,0.965,1.052,NaN,NaN
2013-02-04,0.909,1.534,0.841,1.353,NaN,NaN
2013-02-05,0.937,1.331,0.744,0.851,NaN,NaN
2013-02-06,0.818,1.225,0.76,1.193,NaN,NaN
2013-02-07,1.26,1.443,0.859,1.12,NaN,NaN
2013-02-08,0.825,1.282,0.586,1.084,NaN,NaN
2013-02-11,0.582,1.352,0.577,1.247,NaN,NaN
2013-02-12,1.306,1.306,0.902,0.951,NaN,NaN
2013-02-13,2.166,2.183,0.592,0.779,NaN,NaN
2013-02-14,0.71,0.897,0.47,0.726,NaN,NaN
2013-02-15,1.346,1.398,0.837,1.091,NaN,NaN
2013-02-19,1.398,1.678,1.096,1.171,NaN,NaN
2013-02-20,1.912,1.956,0.896,1.1,NaN,NaN
2013-02-21,0.772,1.204,0.765,1.138,NaN,NaN
2013-02-22,0.741,1.228,0.666,1.123,NaN,NaN
2013-02-25,0.821,1.195,0.818,1.096,NaN,NaN
2013-02-26,0.5,0.926,0.5,0.863,NaN,NaN
2013-02-27,1.985,2.37,1.019,1.143,NaN,NaN
2013-02-28,0.874,1.048,0.795,1.041,NaN,NaN
2013-03-01,1.029,1.441,0.906,1.181,NaN,NaN
2013-03-04,1.101,1.74,0.756,1.328,NaN,NaN
2013-03-05,1.245,1.363,1.031,1.051,NaN,NaN
